math score,reading score,writing score,placement score,club join year,placement offer count
73,76,80,97,2018,3
69,80,72,99,2020,3
72,89,73,84,2018,2
71,73,71,90,2020,3
74,89,73,90,2020,3
75,74,78,88,2020,3
63,89,69,82,2018,2
77,81,69,81,2018,2
72,70,80,95,2019,3
65,78,60,100,2021,3
65,89,73,98,2018,3
78,90,70,91,2020,3
77,90,66,92,2018,3
73,85,62,88,2020,3
78,81,75,90,2020,3
76,74,61,92,2020,3
65,87,63,100,2018,3
74,75,69,94,2019,3
69,78,73,98,2019,3
70,75,69,88,2021,3
67,74,75,82,2019,2
60,78,72,88,2019,3
62,81,62,97,2018,3
73,75,67,83,2018,2
79,86,71,87,2020,3
61,89,62,91,2018,3
77,80,76,84,2019,2
73,83,79,91,2019,3
75,73,73,95,2018,3
73,74,71,92,2021,3
80,80,79,86,2018,3
